iter	Passed	Remaining
0	65	65760
1	72	36395
2	79	26514
3	86	21613
4	93	18523
5	99	16510
6	105	14995
7	111	13845
8	118	12998
9	124	12315
10	130	11750
11	136	11255
12	142	10816
13	148	10458
14	154	10155
15	161	9955
16	168	9755
17	175	9562
18	181	9349
19	186	9142
20	193	9003
21	198	8836
22	205	8730
23	210	8579
24	217	8492
25	225	8430
26	231	8330
27	237	8233
28	244	8189
29	250	8098
30	257	8052
31	264	7990
32	270	7925
33	277	7881
34	283	7815
35	290	7781
36	297	7741
37	303	7693
38	309	7631
39	315	7567
40	320	7502
41	326	7440
42	332	7391
43	337	7340
44	343	7284
45	348	7232
46	354	7188
47	360	7152
48	366	7117
49	372	7075
50	378	7037
51	384	7005
52	390	6972
53	396	6950
54	402	6920
55	408	6881
56	414	6851
57	420	6824
58	425	6787
59	431	6758
60	437	6732
61	442	6701
62	448	6668
63	454	6642
64	460	6618
65	466	6602
66	471	6571
67	477	6540
68	483	6517
69	488	6490
70	493	6463
71	499	6441
72	505	6419
73	512	6417
74	519	6404
75	524	6382
76	531	6370
77	537	6355
78	544	6348
79	550	6328
80	555	6305
81	561	6281
82	567	6264
83	573	6253
84	584	6287
85	590	6274
86	596	6262
87	602	6242
88	608	6225
89	614	6211
90	620	6193
91	625	6173
92	632	6167
93	637	6148
94	643	6130
95	649	6115
96	656	6109
97	661	6091
98	667	6074
99	673	6063
100	678	6042
101	686	6040
102	692	6032
103	698	6016
104	705	6009
105	711	5996
106	717	5984
107	722	5968
108	728	5958
109	734	5943
110	740	5931
111	746	5914
112	751	5899
113	758	5891
114	764	5883
115	769	5867
116	775	5850
117	780	5837
118	786	5825
119	792	5810
120	798	5799
121	804	5791
122	810	5776
123	815	5761
124	821	5753
125	828	5743
126	833	5730
127	840	5726
128	846	5717
129	852	5707
130	858	5696
131	864	5682
132	869	5669
133	875	5655
134	880	5643
135	887	5635
136	892	5622
137	898	5611
138	903	5598
139	909	5588
140	915	5576
141	920	5564
142	926	5550
143	932	5540
144	937	5526
145	943	5517
146	948	5506
147	954	5497
148	960	5487
149	966	5476
150	971	5464
151	977	5452
152	982	5440
153	988	5428
154	993	5416
155	1000	5412
156	1005	5401
157	1011	5389
158	1017	5380
159	1024	5377
160	1029	5366
161	1037	5365
162	1042	5355
163	1049	5347
164	1054	5336
165	1059	5324
166	1065	5313
167	1070	5302
168	1075	5289
169	1081	5280
170	1086	5268
171	1092	5257
172	1098	5250
173	1104	5245
174	1110	5237
175	1116	5226
176	1122	5218
177	1127	5208
178	1133	5198
179	1138	5188
180	1144	5179
181	1151	5174
182	1158	5173
183	1164	5164
184	1170	5158
185	1178	5156
186	1184	5148
187	1190	5139
188	1196	5134
189	1202	5125
190	1208	5116
191	1214	5110
192	1220	5103
193	1226	5096
194	1232	5086
195	1237	5076
196	1244	5073
197	1250	5064
198	1255	5055
199	1261	5046
200	1267	5039
201	1273	5031
202	1279	5023
203	1285	5017
204	1291	5009
205	1296	4998
206	1302	4988
207	1307	4979
208	1313	4972
209	1319	4964
210	1325	4957
211	1331	4948
212	1336	4939
213	1342	4929
214	1348	4923
215	1354	4917
216	1361	4911
217	1366	4900
218	1372	4893
219	1377	4884
220	1383	4875
221	1388	4867
222	1395	4860
223	1400	4851
224	1406	4843
225	1412	4838
226	1418	4829
227	1423	4821
228	1429	4813
229	1435	4805
230	1440	4796
231	1447	4790
232	1453	4783
